time	V(n002)	V(n004)	V(n005)	V(n009)
1.003000000000000e-009	3.127181e+000	9.561732e-003	1.632671e-002	4.248522e-001
1.009000000000000e-009	3.126703e+000	9.535916e-003	1.632607e-002	4.224396e-001
1.045000000000000e-009	3.123837e+000	9.384979e-003	1.632234e-002	4.074662e-001
1.093000000000000e-009	3.120021e+000	9.192899e-003	1.631754e-002	3.866239e-001
1.189000000000000e-009	3.112406e+000	8.837473e-003	1.630852e-002	3.443469e-001
1.381000000000000e-009	3.097228e+000	8.205358e-003	1.629258e-002	2.636524e-001
1.586976900058563e-009	3.081023e+000	7.628570e-003	1.627817e-002	1.896933e-001
1.841276534652035e-009	3.061129e+000	7.043300e-003	1.626354e-002	1.206217e-001
2.076071361038799e-009	3.042863e+000	6.598732e-003	1.625258e-002	7.606908e-002
2.253468555314511e-009	3.029136e+000	6.321199e-003	1.624562e-002	5.353681e-002
2.432482968980391e-009	3.015354e+000	6.086534e-003	1.623956e-002	3.818845e-002
2.633892541155613e-009	2.999922e+000	5.862779e-003	1.623371e-002	2.624667e-002
2.828496391307093e-009	2.985085e+000	5.680433e-003	1.622890e-002	1.835687e-002
3.028360749886943e-009	2.969923e+000	5.523245e-003	1.622466e-002	1.288195e-002
3.224243816443272e-009	2.955138e+000	5.394027e-003	1.622110e-002	9.241193e-003
3.430669695618527e-009	2.939638e+000	5.280201e-003	1.621788e-002	6.647678e-003
3.638057458168934e-009	2.924148e+000	5.185021e-003	1.621510e-002	4.891843e-003
3.857117770433359e-009	2.907874e+000	5.101947e-003	1.621258e-002	3.656739e-003
4.080041924550558e-009	2.891407e+000	5.032638e-003	1.621038e-002	2.828290e-003
4.318184990618937e-009	2.873920e+000	4.972630e-003	1.620837e-002	2.255858e-003
4.568134269439250e-009	2.855680e+000	4.922298e-003	1.620656e-002	1.875109e-003
4.840950161510117e-009	2.835906e+000	4.879328e-003	1.620486e-002	1.620507e-003
5.142299727453188e-009	2.814226e+000	4.843294e-003	1.620327e-002	1.455469e-003
5.488041907425916e-009	2.789560e+000	4.813286e-003	1.620170e-002	1.351115e-003
5.886913227967655e-009	2.761380e+000	4.789875e-003	1.620017e-002	1.290241e-003
6.377588879247841e-009	2.727118e+000	4.772650e-003	1.619856e-002	1.256780e-003
6.984158249865833e-009	2.685385e+000	4.762962e-003	1.619685e-002	1.241222e-003
7.814178367198418e-009	2.629322e+000	4.761559e-003	1.619480e-002	1.235052e-003
8.790740867198418e-009	2.564766e+000	4.768883e-003	1.619262e-002	1.233531e-003
9.767303367198419e-009	2.501737e+000	4.781267e-003	1.619055e-002	1.233358e-003
1.074386586719842e-008	2.440256e+000	4.796059e-003	1.618853e-002	1.233349e-003
1.269699086719842e-008	2.321790e+000	4.828182e-003	1.618454e-002	1.233349e-003
1.618471408148414e-008	2.127493e+000	4.887798e-003	1.617744e-002	1.233349e-003
1.967243729576985e-008	1.946753e+000	4.948247e-003	1.617035e-002	1.233349e-003
2.316016051005556e-008	1.779572e+000	5.009530e-003	1.616326e-002	1.233349e-003
2.664788372434128e-008	1.625950e+000	5.071647e-003	1.615618e-002	1.233349e-003
3.013560693862699e-008	1.485885e+000	5.134597e-003	1.614910e-002	1.233349e-003
3.362333015291270e-008	1.359379e+000	5.198382e-003	1.614202e-002	1.233349e-003
3.711105336719841e-008	1.246431e+000	5.263000e-003	1.613495e-002	1.233349e-003
4.059877658148412e-008	1.142124e+000	5.328436e-003	1.612789e-002	1.233349e-003
4.408649979576982e-008	1.045096e+000	5.394772e-003	1.612083e-002	1.233349e-003
4.757422301005553e-008	9.553461e-001	5.462007e-003	1.611377e-002	1.233349e-003
5.106194622434124e-008	8.728752e-001	5.530141e-003	1.610672e-002	1.233349e-003
5.454966943862695e-008	7.976829e-001	5.599175e-003	1.609967e-002	1.233349e-003
5.803739265291265e-008	7.297692e-001	5.669109e-003	1.609263e-002	1.233349e-003
6.152511586719835e-008	6.691340e-001	5.739941e-003	1.608559e-002	1.233349e-003
6.501283908148405e-008	6.131380e-001	5.811717e-003	1.607855e-002	1.233349e-003
6.850056229576976e-008	5.610494e-001	5.884490e-003	1.607152e-002	1.233349e-003
7.198828551005547e-008	5.128683e-001	5.958260e-003	1.606450e-002	1.233349e-003
7.547600872434117e-008	4.685946e-001	6.033027e-003	1.605748e-002	1.233349e-003
7.896373193862688e-008	4.282283e-001	6.108793e-003	1.605046e-002	1.233349e-003
8.245145515291258e-008	3.917695e-001	6.185555e-003	1.604345e-002	1.233349e-003
8.593917836719828e-008	3.592181e-001	6.263315e-003	1.603645e-002	1.233349e-003
8.942690158148399e-008	3.291572e-001	6.342121e-003	1.602945e-002	1.233349e-003
9.291462479576969e-008	3.011939e-001	6.422036e-003	1.602245e-002	1.233349e-003
9.640234801005540e-008	2.753283e-001	6.503059e-003	1.601546e-002	1.233349e-003
9.989007122434111e-008	2.515604e-001	6.585190e-003	1.600847e-002	1.233349e-003
1.033777944386268e-007	2.298902e-001	6.668431e-003	1.600150e-002	1.233349e-003
1.068655176529125e-007	2.103176e-001	6.752780e-003	1.599452e-002	1.233349e-003
1.103532408671982e-007	1.928427e-001	6.838237e-003	1.598755e-002	1.233349e-003
1.138409640814839e-007	1.767048e-001	6.924859e-003	1.598059e-002	1.233349e-003
1.173286872957696e-007	1.616930e-001	7.012716e-003	1.597363e-002	1.233349e-003
1.208164105100553e-007	1.478073e-001	7.101808e-003	1.596668e-002	1.233349e-003
1.243041337243410e-007	1.350478e-001	7.192136e-003	1.595973e-002	1.233349e-003
1.277918569386267e-007	1.234143e-001	7.283699e-003	1.595279e-002	1.233349e-003
1.312795801529125e-007	1.129070e-001	7.376498e-003	1.594585e-002	1.233349e-003
1.347673033671982e-007	1.035257e-001	7.470531e-003	1.593892e-002	1.233349e-003
1.383945355100553e-007	9.454195e-002	7.569700e-003	1.593172e-002	1.233349e-003
1.420217676529124e-007	8.620444e-002	7.670365e-003	1.592453e-002	1.233349e-003
1.456489997957695e-007	7.851320e-002	7.772528e-003	1.591734e-002	1.233349e-003
1.492762319386267e-007	7.146823e-002	7.876187e-003	1.591016e-002	1.233349e-003
1.529034640814838e-007	6.506954e-002	7.981344e-003	1.590299e-002	1.233349e-003
1.565306962243410e-007	5.931712e-002	8.087997e-003	1.589582e-002	1.233349e-003
1.601579283671981e-007	5.421098e-002	8.196147e-003	1.588866e-002	1.233349e-003
1.637851605100552e-007	4.950664e-002	8.305876e-003	1.588150e-002	1.233349e-003
1.674123926529124e-007	4.514072e-002	8.417293e-003	1.587436e-002	1.233349e-003
1.710396247957695e-007	4.111322e-002	8.530396e-003	1.586722e-002	1.233349e-003
1.746668569386266e-007	3.742415e-002	8.645186e-003	1.586008e-002	1.233349e-003
1.782940890814838e-007	3.407349e-002	8.761664e-003	1.585296e-002	1.233349e-003
1.819213212243409e-007	3.106125e-002	8.879828e-003	1.584584e-002	1.233349e-003
1.855485533671980e-007	2.838743e-002	8.999680e-003	1.583872e-002	1.233349e-003
1.893152944386266e-007	2.583680e-002	9.126021e-003	1.583135e-002	1.233349e-003
1.930820355100551e-007	2.347505e-002	9.254427e-003	1.582398e-002	1.233349e-003
1.968487765814837e-007	2.130220e-002	9.384897e-003	1.581662e-002	1.233349e-003
2.006155176529123e-007	1.931824e-002	9.517431e-003	1.580926e-002	1.233349e-003
2.043822587243408e-007	1.752316e-002	9.652031e-003	1.580192e-002	1.233349e-003
2.081489997957694e-007	1.591698e-002	9.788695e-003	1.579458e-002	1.233349e-003
2.119157408671979e-007	1.449969e-002	9.927424e-003	1.578726e-002	1.233349e-003
2.158219908671979e-007	1.315265e-002	1.007359e-002	1.577966e-002	1.233349e-003
2.197282408671979e-007	1.190816e-002	1.022231e-002	1.577208e-002	1.233349e-003
2.236344908671979e-007	1.076623e-002	1.037357e-002	1.576451e-002	1.233349e-003
2.275407408671979e-007	9.726863e-003	1.052738e-002	1.575695e-002	1.233349e-003
2.314469908671979e-007	8.790057e-003	1.068373e-002	1.574940e-002	1.233349e-003
2.353532408671979e-007	7.955811e-003	1.084263e-002	1.574186e-002	1.233349e-003
2.392594908671979e-007	7.224126e-003	1.100408e-002	1.573433e-002	1.233349e-003
2.435842676529123e-007	6.487811e-003	1.118595e-002	1.572600e-002	1.233349e-003
2.479090444386267e-007	5.811993e-003	1.137146e-002	1.571768e-002	1.233349e-003
2.522338212243410e-007	5.196672e-003	1.156061e-002	1.570938e-002	1.233349e-003
2.565585980100555e-007	4.641849e-003	1.175341e-002	1.570109e-002	1.233349e-003
2.608833747957698e-007	4.147522e-003	1.194985e-002	1.569281e-002	1.233349e-003
2.652081515814843e-007	3.713692e-003	1.214993e-002	1.568455e-002	1.233349e-003
2.695329283671986e-007	3.340360e-003	1.235365e-002	1.567630e-002	1.233349e-003
2.744157408671987e-007	2.960736e-003	1.258828e-002	1.566699e-002	1.233349e-003
2.792985533671989e-007	2.615171e-003	1.282850e-002	1.565771e-002	1.233349e-003
2.841813658671990e-007	2.303664e-003	1.307430e-002	1.564845e-002	1.233349e-003
2.890641783671991e-007	2.026216e-003	1.332568e-002	1.563920e-002	1.233349e-003
2.939469908671992e-007	1.782827e-003	1.358265e-002	1.562997e-002	1.233349e-003
2.988298033671993e-007	1.573495e-003	1.384520e-002	1.562076e-002	1.233349e-003
3.037126158671995e-007	1.398223e-003	1.411333e-002	1.561156e-002	1.233349e-003
3.101300265814853e-007	1.196793e-003	1.447444e-002	1.559950e-002	1.233349e-003
3.165474372957712e-007	1.017121e-003	1.484792e-002	1.558748e-002	1.233349e-003
3.229648480100571e-007	8.592079e-004	1.523376e-002	1.557549e-002	1.233349e-003
3.293822587243429e-007	7.230525e-004	1.563196e-002	1.556353e-002	1.233349e-003
3.357996694386288e-007	6.086551e-004	1.604252e-002	1.555161e-002	1.233349e-003
3.422170801529147e-007	5.160158e-004	1.646544e-002	1.553972e-002	1.233349e-003
3.486344908672005e-007	4.451345e-004	1.690073e-002	1.552786e-002	1.233349e-003
3.582606069386294e-007	3.564681e-004	1.757518e-002	1.551014e-002	1.233349e-003
3.678867230100582e-007	2.799678e-004	1.829159e-002	1.549251e-002	1.233349e-003
