time	V(n002)	V(n004)	V(n005)	V(n009)
9.386562852600309e-010	7.172699e-002	2.994743e+000	4.579115e+000	2.093356e+000
9.686562852600310e-010	7.412024e-002	2.994988e+000	4.725472e+000	2.089362e+000
9.986562852600311e-010	7.651208e-002	2.995239e+000	4.871830e+000	2.086008e+000
1.000000000000000e-009	7.661918e-002	2.995250e+000	4.878386e+000	2.085877e+000
1.002687429479938e-009	7.683329e-002	2.995273e+000	4.878386e+000	2.085633e+000
1.008062288439814e-009	7.726148e-002	2.995319e+000	4.878389e+000	2.085160e+000
1.018812006359566e-009	7.811764e-002	2.995410e+000	4.878394e+000	2.084278e+000
1.040311442199069e-009	7.982909e-002	2.995593e+000	4.878403e+000	2.082744e+000
1.083310313878076e-009	8.324847e-002	2.995959e+000	4.878421e+000	2.080385e+000
1.169308057236091e-009	9.007321e-002	2.996690e+000	4.878458e+000	2.077469e+000
1.341303543952119e-009	1.036668e-001	2.998146e+000	4.878532e+000	2.074983e+000
1.685294517384177e-009	1.306325e-001	3.001038e+000	4.878679e+000	2.073994e+000
2.373276464248292e-009	1.838239e-001	3.006753e+000	4.878972e+000	2.074533e+000
3.349838964248291e-009	2.579103e-001	3.014736e+000	4.879383e+000	2.075665e+000
4.326401464248291e-009	3.303120e-001	3.022562e+000	4.879790e+000	2.076778e+000
5.302963964248291e-009	4.009343e-001	3.030220e+000	4.880192e+000	2.077895e+000
6.279526464248291e-009	4.698211e-001	3.037713e+000	4.880589e+000	2.079008e+000
7.256088964248290e-009	5.370150e-001	3.045042e+000	4.880982e+000	2.080120e+000
8.232651464248291e-009	6.025575e-001	3.052211e+000	4.881371e+000	2.081231e+000
1.116233896424829e-008	7.896784e-001	3.072773e+000	4.882508e+000	2.084555e+000
1.409202646424829e-008	9.633399e-001	3.091960e+000	4.883605e+000	2.087866e+000
1.702171396424829e-008	1.124510e+000	3.109823e+000	4.884662e+000	2.091165e+000
1.911434789281972e-008	1.231813e+000	3.121759e+000	4.885392e+000	2.093514e+000
2.120698182139116e-008	1.334194e+000	3.133098e+000	4.886103e+000	2.095856e+000
2.329961574996258e-008	1.431654e+000	3.143839e+000	4.886795e+000	2.098192e+000
2.539224967853402e-008	1.524191e+000	3.153984e+000	4.887468e+000	2.100522e+000
2.748488360710545e-008	1.611807e+000	3.163531e+000	4.888122e+000	2.102845e+000
2.957751753567687e-008	1.694501e+000	3.172481e+000	4.888756e+000	2.105163e+000
3.167015146424830e-008	1.772273e+000	3.180834e+000	4.889372e+000	2.107473e+000
3.362327646424829e-008	1.841780e+000	3.188115e+000	4.889934e+000	2.109624e+000
3.459983896424829e-008	1.875258e+000	3.191520e+000	4.890209e+000	2.110698e+000
3.557640146424829e-008	1.907913e+000	3.194731e+000	4.890481e+000	2.111770e+000
3.655296396424829e-008	1.939766e+000	3.197698e+000	4.890750e+000	2.112841e+000
3.752952646424828e-008	1.970835e+000	3.200348e+000	4.891015e+000	2.113911e+000
3.850608896424828e-008	2.001142e+000	3.202574e+000	4.891275e+000	2.114979e+000
3.948265146424828e-008	2.030703e+000	3.204215e+000	4.891531e+000	2.116045e+000
4.045921396424828e-008	2.059538e+000	3.205043e+000	4.891782e+000	2.117111e+000
4.143577646424827e-008	2.087664e+000	3.204736e+000	4.892027e+000	2.118175e+000
4.241233896424827e-008	2.115099e+000	3.202857e+000	4.892263e+000	2.119238e+000
4.338890146424827e-008	2.141860e+000	3.198829e+000	4.892491e+000	2.120299e+000
4.436546396424826e-008	2.167964e+000	3.191933e+000	4.892706e+000	2.121359e+000
4.534202646424826e-008	2.193425e+000	3.181324e+000	4.892908e+000	2.122418e+000
4.631858896424826e-008	2.218261e+000	3.166094e+000	4.893092e+000	2.123476e+000
4.729515146424826e-008	2.242487e+000	3.145371e+000	4.893258e+000	2.124532e+000
4.827171396424825e-008	2.266117e+000	3.118449e+000	4.893403e+000	2.125587e+000
4.924827646424825e-008	2.289167e+000	3.084898e+000	4.893527e+000	2.126640e+000
5.022483896424825e-008	2.311650e+000	3.044644e+000	4.893631e+000	2.127692e+000
5.120140146424825e-008	2.333580e+000	2.997972e+000	4.893716e+000	2.128743e+000
5.217796396424824e-008	2.354972e+000	2.945459e+000	4.893785e+000	2.129792e+000
5.315452646424824e-008	2.375838e+000	2.887883e+000	4.893840e+000	2.130840e+000
5.413108896424824e-008	2.396191e+000	2.826106e+000	4.893884e+000	2.131887e+000
5.510765146424823e-008	2.416044e+000	2.760986e+000	4.893918e+000	2.132933e+000
5.608421396424823e-008	2.435410e+000	2.693314e+000	4.893945e+000	2.133977e+000
5.706077646424823e-008	2.454298e+000	2.623783e+000	4.893966e+000	2.135020e+000
5.803733896424823e-008	2.472723e+000	2.552970e+000	4.893982e+000	2.136061e+000
5.999046396424822e-008	2.508226e+000	2.409286e+000	4.894006e+000	2.138140e+000
6.194358896424822e-008	2.542006e+000	2.264958e+000	4.894022e+000	2.140214e+000
6.389671396424821e-008	2.573969e+000	2.120814e+000	4.894032e+000	2.142283e+000
6.584983896424820e-008	2.604552e+000	1.979513e+000	4.894041e+000	2.144346e+000
6.780296396424820e-008	2.633753e+000	1.841053e+000	4.894049e+000	2.146405e+000
6.975608896424819e-008	2.661572e+000	1.705436e+000	4.894056e+000	2.148458e+000
7.170921396424819e-008	2.688010e+000	1.572661e+000	4.894061e+000	2.150506e+000
7.366233896424818e-008	2.713067e+000	1.442729e+000	4.894065e+000	2.152548e+000
7.561546396424818e-008	2.736742e+000	1.315638e+000	4.894068e+000	2.154586e+000
7.812662467853388e-008	2.765452e+000	1.157140e+000	4.894073e+000	2.157198e+000
8.063778539281959e-008	2.792625e+000	1.005552e+000	4.894076e+000	2.159802e+000
8.314894610710531e-008	2.818262e+000	8.608739e-001	4.894079e+000	2.162398e+000
8.566010682139101e-008	2.842363e+000	7.231061e-001	4.894080e+000	2.164985e+000
8.817126753567672e-008	2.864926e+000	5.922485e-001	4.894081e+000	2.167564e+000
9.068242824996242e-008	2.885954e+000	4.683010e-001	4.894080e+000	2.170134e+000
9.319358896424813e-008	2.905445e+000	3.512636e-001	4.894079e+000	2.172696e+000
9.417015146424813e-008	2.912783e+000	3.085565e-001	4.894077e+000	2.173690e+000
9.514671396424812e-008	2.919940e+000	2.674270e-001	4.894076e+000	2.174683e+000
9.612327646424812e-008	2.926922e+000	2.284804e-001	4.894073e+000	2.175675e+000
9.709983896424812e-008	2.933732e+000	1.932287e-001	4.894067e+000	2.176665e+000
9.807640146424811e-008	2.940375e+000	1.638755e-001	4.894054e+000	2.177654e+000
9.905296396424811e-008	2.946855e+000	1.416686e-001	4.894035e+000	2.178642e+000
1.000295264642481e-007	2.953175e+000	1.258113e-001	4.894015e+000	2.179629e+000
1.010060889642481e-007	2.959340e+000	1.144534e-001	4.893998e+000	2.180614e+000
1.019826514642481e-007	2.965354e+000	1.060054e-001	4.893985e+000	2.181599e+000
1.029592139642481e-007	2.971219e+000	9.944917e-002	4.893976e+000	2.182582e+000
1.039357764642481e-007	2.976941e+000	9.417102e-002	4.893970e+000	2.183563e+000
1.049123389642481e-007	2.982522e+000	8.979296e-002	4.893967e+000	2.184544e+000
1.058889014642481e-007	2.987966e+000	8.607293e-002	4.893965e+000	2.185523e+000
1.068654639642481e-007	2.993276e+000	8.284983e-002	4.893965e+000	2.186501e+000
1.078420264642481e-007	2.998455e+000	8.001271e-002	4.893965e+000	2.187478e+000
1.088185889642481e-007	3.003508e+000	7.748283e-002	4.893967e+000	2.188454e+000
1.097951514642481e-007	3.008436e+000	7.520278e-002	4.893968e+000	2.189428e+000
1.107717139642481e-007	3.013243e+000	7.312963e-002	4.893970e+000	2.190401e+000
1.117482764642481e-007	3.017931e+000	7.123062e-002	4.893972e+000	2.191373e+000
1.127248389642481e-007	3.022505e+000	6.948017e-002	4.893974e+000	2.192344e+000
1.137014014642481e-007	3.026966e+000	6.785800e-002	4.893977e+000	2.193313e+000
1.146779639642481e-007	3.031318e+000	6.634773e-002	4.893980e+000	2.194281e+000
1.156545264642481e-007	3.035563e+000	6.493595e-002	4.893982e+000	2.195249e+000
1.166310889642481e-007	3.039703e+000	6.361154e-002	4.893985e+000	2.196214e+000
1.176076514642481e-007	3.043741e+000	6.236518e-002	4.893987e+000	2.197179e+000
1.185842139642481e-007	3.047681e+000	6.118893e-002	4.893990e+000	2.198142e+000
1.205373389642481e-007	3.055272e+000	5.902065e-002	4.893995e+000	2.200066e+000
1.224904639642481e-007	3.062494e+000	5.706275e-002	4.894001e+000	2.201984e+000
1.244435889642481e-007	3.069365e+000	5.528169e-002	4.894006e+000	2.203897e+000
1.263967139642481e-007	3.075903e+000	5.365125e-002	4.894011e+000	2.205806e+000
1.293264014642480e-007	3.085120e+000	5.144348e-002	4.894020e+000	2.208661e+000
1.322560889642480e-007	3.093673e+000	4.947397e-002	4.894027e+000	2.211504e+000
1.351857764642480e-007	3.101612e+000	4.770179e-002	4.894035e+000	2.214337e+000
1.381154639642480e-007	3.108979e+000	4.609552e-002	4.894043e+000	2.217159e+000
1.404871157499623e-007	3.114510e+000	4.491747e-002	4.894049e+000	2.219436e+000
1.428587675356766e-007	3.119758e+000	4.380243e-002	4.894055e+000	2.221706e+000
1.452304193213908e-007	3.124724e+000	4.275042e-002	4.894061e+000	2.223969e+000
1.476020711071051e-007	3.129408e+000	4.176143e-002	4.894067e+000	2.226225e+000
1.499737228928194e-007	3.133810e+000	4.083546e-002	4.894073e+000	2.228475e+000
1.523453746785337e-007	3.137930e+000	3.997250e-002	4.894078e+000	2.230717e+000
1.547170264642480e-007	3.141767e+000	3.917257e-002	4.894083e+000	2.232953e+000
1.580652407499622e-007	3.146784e+000	3.811260e-002	4.894091e+000	2.236097e+000
1.614134550356765e-007	3.151462e+000	3.711202e-002	4.894099e+000	2.239229e+000
1.647616693213908e-007	3.155801e+000	3.617082e-002	4.894107e+000	2.242347e+000
1.681098836071051e-007	3.159801e+000	3.528900e-002	4.894114e+000	2.245451e+000
1.714580978928194e-007	3.163462e+000	3.446657e-002	4.894121e+000	2.248543e+000
